id	title	locationId	sceneryTheme	season
guide-1	西藏星空摄影完全指南	china	星空	春季
guide-10	城市夜景长曝光技巧	china	都市风光	全年
guide-11	野生动物摄影入门	china	森林	春季
guide-12	街头摄影技巧大全	china	都市风光	夏季
guide-13	西藏风光摄影深度指南	china	山岳	秋季
guide-14	人像摄影布光技巧	china	都市风光	冬季
guide-15	成都街头人文之旅	china	都市风光	全年
guide-2	冰岛极光摄影终极攻略	europe	极光	冬季
guide-3	巴塔哥尼亚风光摄影深度游	south-america	山岳	秋季
guide-4	日本樱花季摄影全攻略	asia	樱花季	春季
guide-5	城市夜景延时摄影技巧	china	都市风光	全年
guide-6	新西兰南岛自驾摄影行	oceania	山岳	春季
guide-7	微距花卉摄影进阶指南	china	森林	夏季
guide-8	挪威峡湾摄影之旅	europe	海洋	秋季
guide-9	北京胡同人文摄影指南	china	都市风光	冬季
