id	title	season	sceneryTheme	travelMode	locationId	categoryTags
guide-1	西藏星空摄影完全指南	春季	星空	摄影团	china	[{"category": "sky", "dimension": "theme", "subCategory": "starry"}, {"category": "china", "dimension": "location", "subCategory": "china-west"}, {"category": "nighttime", "dimension": "time", "subCategory": "night-time"}, {"category": "clear-sky", "dimension": "weather", "subCategory": "sunny"}, {"category": "special-tech", "dimension": "technique", "subCategory": "star-trail"}, {"category": "mood", "dimension": "style", "subCategory": "powerful"}, {"category": "natural-element", "dimension": "element", "subCategory": "reflection"}]
guide-10	城市夜景长曝光技巧	全年	冰川	摄影团	europe	[{"category": "urban", "dimension": "theme", "subCategory": "nightview"}, {"category": "china", "dimension": "location", "subCategory": "china-east"}, {"category": "nighttime", "dimension": "time", "subCategory": "dusk"}, {"category": "clear-sky", "dimension": "weather", "subCategory": "sunny"}, {"category": "exposure", "dimension": "technique", "subCategory": "long-exposure"}, {"category": "mood", "dimension": "style", "subCategory": "dramatic"}, {"category": "special-element", "dimension": "element", "subCategory": "shadow"}]
guide-11	野生动物摄影入门	春季	峡谷	自驾游	asia	[{"category": "nature", "dimension": "theme", "subCategory": "forest"}, {"category": "china", "dimension": "location", "subCategory": "china-south"}, {"category": "daytime", "dimension": "time", "subCategory": "morning-time"}, {"category": "clear-sky", "dimension": "weather", "subCategory": "sunny"}, {"category": "exposure", "dimension": "technique", "subCategory": "long-exposure"}, {"category": "color-style", "dimension": "style", "subCategory": "vibrant"}, {"category": "human-element", "dimension": "element", "subCategory": "people"}]
guide-12	街头摄影技巧大全	夏季	极光	徒步游	north-america	[{"category": "urban", "dimension": "theme", "subCategory": "street"}, {"category": "china", "dimension": "location", "subCategory": "china-east"}, {"category": "daytime", "dimension": "time", "subCategory": "afternoon-time"}, {"category": "cloudy-weather", "dimension": "weather", "subCategory": "partly-cloudy"}, {"category": "composition", "dimension": "technique", "subCategory": "rule-of-thirds"}, {"category": "color-style", "dimension": "style", "subCategory": "muted"}, {"category": "human-element", "dimension": "element", "subCategory": "people"}]
guide-13	西藏风光摄影深度指南	秋季	星空	向导游	south-america	[{"category": "nature", "dimension": "theme", "subCategory": "mountain"}, {"category": "china", "dimension": "location", "subCategory": "china-west"}, {"category": "daytime", "dimension": "time", "subCategory": "sunrise-time"}, {"category": "clear-sky", "dimension": "weather", "subCategory": "sunny"}, {"category": "perspective", "dimension": "technique", "subCategory": "panorama"}, {"category": "mood", "dimension": "style", "subCategory": "powerful"}, {"category": "natural-element", "dimension": "element", "subCategory": "rocks"}]
guide-14	人像摄影布光技巧	冬季	山岳	骑行游	africa	[{"category": "urban", "dimension": "theme", "subCategory": "architecture"}, {"category": "china", "dimension": "location", "subCategory": "china-north"}, {"category": "daytime", "dimension": "time", "subCategory": "golden-hour"}, {"category": "cloudy-weather", "dimension": "weather", "subCategory": "cloudy"}, {"category": "exposure", "dimension": "technique", "subCategory": "multiple-exposure"}, {"category": "mood", "dimension": "style", "subCategory": "dramatic"}, {"category": "special-element", "dimension": "element", "subCategory": "shadow"}]
guide-15	成都街头人文之旅	全年	森林	背包游	oceania	[{"category": "urban", "dimension": "theme", "subCategory": "street"}, {"category": "china", "dimension": "location", "subCategory": "china-central"}, {"category": "daytime", "dimension": "time", "subCategory": "afternoon-time"}, {"category": "cloudy-weather", "dimension": "weather", "subCategory": "overcast"}, {"category": "composition", "dimension": "technique", "subCategory": "leading-lines"}, {"category": "color-style", "dimension": "style", "subCategory": "warm-tone"}, {"category": "human-element", "dimension": "element", "subCategory": "people"}]
guide-2	冰岛极光摄影终极攻略	夏季	极光	自驾游	europe	[{"category": "sky", "dimension": "theme", "subCategory": "aurora"}, {"category": "europe", "dimension": "location", "subCategory": "northern-europe"}, {"category": "nighttime", "dimension": "time", "subCategory": "night-time"}, {"category": "clear-sky", "dimension": "weather", "subCategory": "sunny"}, {"category": "exposure", "dimension": "technique", "subCategory": "long-exposure"}, {"category": "mood", "dimension": "style", "subCategory": "mysterious"}, {"category": "natural-element", "dimension": "element", "subCategory": "ice"}]
guide-3	巴塔哥尼亚风光摄影深度游	秋季	山岳	徒步游	asia	[{"category": "nature", "dimension": "theme", "subCategory": "mountain"}, {"category": "america", "dimension": "location", "subCategory": "south-america"}, {"category": "daytime", "dimension": "time", "subCategory": "golden-hour"}, {"category": "cloudy-weather", "dimension": "weather", "subCategory": "partly-cloudy"}, {"category": "perspective", "dimension": "technique", "subCategory": "panorama"}, {"category": "mood", "dimension": "style", "subCategory": "powerful"}, {"category": "natural-element", "dimension": "element", "subCategory": "rocks"}]
guide-4	日本樱花季摄影全攻略	冬季	森林	向导游	north-america	[{"category": "season", "dimension": "theme", "subCategory": "spring"}, {"category": "asia", "dimension": "location", "subCategory": "japan"}, {"category": "daytime", "dimension": "time", "subCategory": "morning-time"}, {"category": "clear-sky", "dimension": "weather", "subCategory": "sunny"}, {"category": "composition", "dimension": "technique", "subCategory": "framing"}, {"category": "mood", "dimension": "style", "subCategory": "romantic"}, {"category": "natural-element", "dimension": "element", "subCategory": "flowers"}]
